FlightDestination,FlightSource,Departure,Landing,SecurityPersonID
Paris,Dubai,04/23/2024 00:00:00,04/23/2024 08:00:00,877622381
Berlin,Athens,06/06/2023 07:15,06/06/2023 11:15,174568645
Paris,Dubai,02/11/2023 16:45,02/12/2023 02:45,526751265
London,Dubai,05/13/2024 22:15:00,05/14/2024 02:15:00,905818148
London,Athens,08/24/2022 14:30:00,08/24/2022 22:30:00,655921495
London,Dubai,08/31/2020 21:15:00,09/01/2020 07:15,644422920
Paris,Dubai,07/13/2024 22:45:00,07/14/2024 05:45:00,122352403
Berlin,Dubai,11/22/2024 11:30:00,11/22/2024 20:30:00,490723387
Tokyo,Rome,08/12/2021 20:45,08/13/2021 08:45:00,425447861
Tokyo,Rome,08/04/2022 14:45,08/04/2022 19:45,614540730
London,Tel Aviv,07/10/2021 02:45,07/10/2021 14:45,767503055
Paris,Rome,10/20/2020 00:15:00,10/20/2020 02:15:00,351764977
London,Tel Aviv,04/26/2024 05:30:00,04/26/2024 14:30:00,500167612
Paris,Dubai,07/06/2022 13:30,07/07/2022 01:30,251215843
London,Tel Aviv,06/21/2022 13:00:00,06/21/2022 20:00:00,260606380
Berlin,Athens,05/25/2021 23:15:00,05/26/2021 06:15:00,986721727
New York,Tel Aviv,06/09/2023 19:30,06/10/2023 04:30,532540604
Berlin,Rome,01/20/2024 14:45:00,01/20/2024 19:45:00,941025816
Berlin,Tel Aviv,01/20/2024 22:30:00,01/21/2024 07:30:00,523774700
Paris,Athens,03/11/2020 23:45,03/12/2020 11:45,644422920
Paris,Tel Aviv,04/11/2020 20:30,04/12/2020 06:30,644422920
Paris,Athens,06/06/2021 00:15,06/06/2021 08:15,282452340
London,Rome,10/13/2020 06:15:00,10/13/2020 09:15:00,187394579
New York,Madrid,07/14/2020 21:45:00,07/15/2020 09:45:00,251215843
Berlin,Dubai,06/25/2022 08:00:00,06/25/2022 17:00:00,591236336
New York,Dubai,04/29/2023 03:00:00,04/29/2023 06:00:00,736572780
Paris,Athens,01/04/2022 01:45,01/04/2022 10:45,938787370
New York,Dubai,10/08/2023 16:45,10/08/2023 22:45,930456301
